Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
23.112.3665a,False,False,False,754684,,Drawings and Prints,1923,Drawing,Skeleton Boot Victoria #3690,,,,,,16517,Manufacturer, ,Brewster & Co.,"American, New York", ,Brewster & Co.,American,          ,          ,,,,1881,1881,1881,Graphite on wove paper with perforated linen tape adhered to left side for binding. Graphite on tracing paper overlay.,Sheet: 7 1/2 × 14 1/4 in. (19.1 × 36.2 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/754684,,,"Metropolitan Museum of Art, New York, NY",,,
58.508.4,False,False,False,399780,,Drawings and Prints,1958,Print,"Index for 1775 Edition of Etchingsby Giambattista, Lorenzo, and Giandomenico Tiepolo [Catalogo di varie Opere inventate dal Celebre Gio Batta Tiepolo...etc.]",,,,,,1625381625377055,Subject of book|Subject of book|Subject of book, | | ,Giovanni Domenico Tiepolo|Giovanni Battista Tiepolo|Lorenzo Tiepolo,"Italian, Venice 1727–1804 Venice|Italian, Venice 1696–1770 Madrid|Italian, Venice 1736–1776 Madrid", | | ,"Tiepolo, Giovanni Domenico|Tiepolo, Giovanni Battista|Tiepolo, Lorenzo",Italian|Italian|Italian,1727      |1696      |1736      ,1804      |1770      |1776      ,||,http://vocab.getty.edu/page/ulan/500025154|http://vocab.getty.edu/page/ulan/500018523|http://vocab.getty.edu/page/ulan/500014862,https://www.wikidata.org/wiki/Q435316|https://www.wikidata.org/wiki/Q186202|https://www.wikidata.org/wiki/Q2530113,ca. 1775,1750,1800,Etching,"plate: 16 15/16 x 12 1/2 in. (43 x 31.8 cm)
sheet: 21 7/16 x 15 in. (54.5 x 38.1 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1958",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399780,,,"Metropolitan Museum of Art, New York, NY",,,
36.39.2,False,False,True,472388,009,The Cloisters,1936,Roundel,Roundel,Austrian,,,,,,,,,,,,,,,,,,1390,1390,1390,"Pot-metal glass, colorless glass, and vitreous paint",Overall: 15 5/8 x 15 3/4 in. (39.7 x 40 cm),"The Cloisters Collection, 1936",Made in,,,Niederösterreich,Austria,,,,,,,Glass-Stained,,http://www.metmuseum.org/art/collection/search/472388,https://www.wikidata.org/wiki/Q20201883,,"Metropolitan Museum of Art, New York, NY",Moon|Stars|Sun,http://vocab.getty.edu/page/aat/300386951|http://vocab.getty.edu/page/aat/300387654|http://vocab.getty.edu/page/aat/300379806,https://www.wikidata.org/wiki/Q405|https://www.wikidata.org/wiki/Q25962599|https://www.wikidata.org/wiki/Q525
1976.602.14,False,False,False,875825,,Drawings and Prints,1976,Print,"Caudle's Offenses & Mrs. Caudle's Lessons, No. 10: Cold Mutton, and No Pudding, for Dinner",,,,,,913937961,Artist|Publisher, | ,"Anonymous, British, 19th century|Punch"," |British, established 1841", | ,"Anonymous, British, 19th century|Punch",British|British,1800      |1800      ,1900      |1999      ,|,http://vocab.getty.edu/page/ulan/500397994|,https://www.wikidata.org/wiki/Q4233718|,1845 (?),1845,1845,Lithograph,Sheet: 11 5/8 × 8 1/4 in. (29.5 × 21 cm),"Gift of Adele S. Gollin, 1976",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/875825,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.207.145.2.392,False,False,True,645395,,Drawings and Prints,1963,Print,"Card Number 220, Miss Theo, from the Actors and Actresses series (N145-2) issued by Duke Sons & Co. to promote Cross Cut Cigarettes",,,,,,10567,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.", ,"Duke, W. Sons & Co.",American,1870      ,1920      ,,(not assigned),https://www.wikidata.org/wiki/Q66734555,1880s,1880,1889,Albumen photograph,Sheet: 2 5/8 × 1 7/16 in. (6.6 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/645395,,,"Metropolitan Museum of Art, New York, NY",Women|Actresses,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
23.112.616,False,False,True,378691,,Drawings and Prints,1923,Drawing,"Design for Dos-a-Dos Phaeton, no. 4065",,,,,,1651719919,Manufacturer|Artist, | ,Brewster & Co.|Herman Stahmer,"American, New York|American, 1857–1894", | ,"Brewster & Co.|Stahmer, Herman",American|American,          |1857      ,          |1894      ,|,|,|,1890,1890,1890,"Pen and black ink, watercolor and gouache with gum arabic",sheet: 6 5/16 x 8 5/8 in. (16 x 21.9 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/378691,,,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,https://www.wikidata.org/wiki/Q235356
2001.427,False,False,False,344177,,Drawings and Prints,2001,Print,Untitled,,,,,,16495,Artist, ,Joel Shapiro,"American, born New York, 1941", ,"Shapiro, Joel",American,1941      ,9999      ,,http://vocab.getty.edu/page/ulan/500118704,https://www.wikidata.org/wiki/Q461178,1992,1992,1992,Etching,"32 x 24 inches
(81.3 x 61 cm)","John B. Turner Fund, 2001",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/344177,,,"Metropolitan Museum of Art, New York, NY",,,
2011.604.1.3600,False,False,True,693193,,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Archaic,,,,,,,,,,,,,,,,,first quarter of the 5th century BCE,-500,-450,Terracotta,,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/693193,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.247.213.118,False,False,False,418054,,Drawings and Prints,1963,Baseball card,"Art Fromme, New York, from Coupon Cigarettes Baseball Issue, 1914-1916",,,,,,10551,Publisher, ,Coupon Cigarettes, , ,Coupon Cigarettes, ,          ,          ,,,,1914–16,1909,1921,Commercial color lithograph,Sheet: 2 5/8 x 1 7/16 in. (6.7 x 3.6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/418054,,,"Metropolitan Museum of Art, New York, NY",Men|Baseball|Athletes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300222760|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q5369|https://www.wikidata.org/wiki/Q2066131
48.101.495,False,False,True,741560,,Islamic Art,1948,Fragment,Stucco Fragment,,,,,,,,,,,,,,,,,,,probably 8th–12th century,800,1300,"Stucco; carved, painted","H. 3 15/16 in. (10 cm)
W. 2 3/16 in. (5.5 cm)
D. 13/16 in. (2 cm)","Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Stucco,,http://www.metmuseum.org/art/collection/search/741560,,,"Metropolitan Museum of Art, New York, NY",,,
29.149.108,False,False,True,41705,,Asian Art,1929,Snuff bottle,,China,"Qing dynasty (1644–1911), Yongzheng period (1723–35)",,,,,,,,,,,,,,,,,,1723,1735,"Porcelain ""soft paste""",H. 3 in. (7.6 cm),"Bequest of William Rhinelander Stewart, 1929",,,,,,,,,,,,Snuff Bottles,,http://www.metmuseum.org/art/collection/search/41705,,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
1992.256.22,False,False,True,51257,,Asian Art,1992,Shard,,Pakistan,,,,,,,,,,,,,,,,,,ca. 4th–5th century,250,550,Painted terracotta,1 3/8 x 2 5/8 in. (3.5 x 6.7 cm),"Gift of Andrew Hale and Kate Fitz Gibbon, 1992",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/51257,,,"Metropolitan Museum of Art, New York, NY",Human Figures|Flowers|Gandhara,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300018889,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q213651
2021.38.4,False,False,False,828726,,Photographs,2021,Photograph,"[Untitled, Geometrics: Ground Works]",,,,,,5860,Artist, ,John M. Hall,"American, Hurdle Mills, North Carolina 1952–2019 New York", ,"Hall, John M.",American,1952      ,2019      ,,http://vocab.getty.edu/page/ulan/500261957,,2014–19,2014,2019,Inkjet print,"Image: 15 1/16 × 22 5/16 in. (38.2 × 56.7 cm)
Sheet: 19 in. × 26 1/2 in. (48.3 × 67.3 cm)","Anonymous Gift, in memory of John M. Hall, 2021",,,,,,,,,,,,Photographs,© Estate of John M. Hall,http://www.metmuseum.org/art/collection/search/828726,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.10a–c,False,False,True,24009,,Arms and Armor,1936,Fabric armor and helmet,Fabric Armor and Helmet with Buddhist and Taoist symbols,Korean,,,,,,,,,,,,,,,,,,possibly 18th century,1675,1825,"Cotton, hemp, copper alloy, iron",H. as mounted with helmet 47 3/4 in. (121.3 cm); W. as mounted with helmet 22 in. (55.9 cm); H. of armor as mounted 33 1/16 in. (84 cm); W. of armor as mounted 22 1/16 in. (56 cm); D. of armor as mounted 13 in. (33 cm); Wt. 18 lb. 14 oz. (8575 g); H. of helmet 16 1/2 in. (42 cm); W. of helmet 11 13/16 in. (30 cm); D. of helmet 13 in. (33 cm); Wt. of helmet 4 lb. 2 oz. (1869 g); Wt. of torso 13 ob. 11 oz. (6207 g); Wt. of belt 1 lb. 1 oz. (499 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Armor for Horse and Man,,http://www.metmuseum.org/art/collection/search/24009,,,"Metropolitan Museum of Art, New York, NY",Buddhism|Daoism,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300143666,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q9598
1978.618.10,False,False,False,822842,,Drawings and Prints,1978,Print,Untitled,,,,,,20767,Artist, ,Guy Anderson,"American, Edmonds, Washington 1906–1998 Mount Vernon, Washington", ,"Anderson, Guy",American,1906      ,1998      ,,http://vocab.getty.edu/page/ulan/500048548,https://www.wikidata.org/wiki/Q5622047,ca. 1974,1969,1979,Woodcut,Sheet: 11 5/8 × 7 13/16 in. (29.5 × 19.8 cm),"Mr. and Mrs. Robert J. Massar Gift, 1978",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/822842,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.203.45.488,False,False,True,414726,,Drawings and Prints,1963,Photograph,"Mattie Rogers, from the Actors and Actresses series (N45, Type 1) for Virginia Brights Cigarettes",,,,,,16158,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia", ,Allen & Ginter,American,          ,          ,,(not assigned),https://www.wikidata.org/wiki/Q4731490,ca. 1888,1885,1891,Albumen photograph,Sheet: 2 3/4 x 1 3/8 in. (7 x 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/414726,,,"Metropolitan Museum of Art, New York, NY",Portraits|Women|Actresses,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
64.101.1585,False,False,True,209149,509,European Sculpture and Decorative Arts,1964,Trencher,Trencher with quotation from The Governance of Virtue (1566) (one of a set),British,,,,,,,,,,,,,,,,,,early 17th century,1600,1615,"Sycamore wood, painted and gilded",4 9/16 × 5 11/16 in. (11.6 × 14.4 cm),"Gift of Irwin Untermyer, 1964",,,,,,,,,,,,Natural Substances,,http://www.metmuseum.org/art/collection/search/209149,https://www.wikidata.org/wiki/Q116240641,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
54.90.240,False,False,False,388815,,Drawings and Prints,1954,Drawing ; Ornament and Architecture,Christ Church,,,,,,10215,Artist, ,John Gast,"American, Berlin, Prussia 1842–1896 Brooklyn", ,"Gast, John","American, born Germany",1842      ,1896      ,,,,19th century,1800,1900,"Watercolor, pen and black ink over graphite",sheet: 27 1/8 x 19 9/16 in. (68.9 x 49.7 cm),"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold, 1954",,,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/388815,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.215.172.1326,False,False,True,403516,,Drawings and Prints,1963,"Baseball card, photograph","John Thomas Pickett, Shortstop, Kansas City Cowboys, from the Old Judge series (N172) for Old Judge Cigarettes",,,,,,16328,Publisher,Issued by,Goodwin & Company, , ,Goodwin & Company, ,1850      ,1950      ,,(not assigned),https://www.wikidata.org/wiki/Q5583666,1888,1888,1888,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/403516,,,"Metropolitan Museum of Art, New York, NY",Men|Baseball|Athletes|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300222760|http://vocab.getty.edu/page/aat/300236025|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q5369|https://www.wikidata.org/wiki/Q2066131|https://www.wikidata.org/wiki/Q134307
94.24.1,False,True,True,435831,811,European Paintings,1894,Painting,The Birth of Venus,,,,,,16423,Artist, ,Alexandre Cabanel,"French, Montpellier 1823–1889 Paris", ,"Cabanel, Alexandre",French,1823      ,1889      ,,http://vocab.getty.edu/page/ulan/500004789,https://www.wikidata.org/wiki/Q310437,1875,1875,1875,Oil on canvas,41 3/4 x 71 7/8 in. (106 x 182.6 cm),"Gift of John Wolfe, 1893",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435831,https://www.wikidata.org/wiki/Q19912326,,"Metropolitan Museum of Art, New York, NY",Venus|Female Nudes|Putti|Seas,http://vocab.getty.edu/page/ia/901001064|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300250465|http://vocab.getty.edu/page/aat/300008694,https://www.wikidata.org/wiki/Q47652|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q284865|https://www.wikidata.org/wiki/Q165
26.31.249,False,False,False,252199,151,Greek and Roman Art,1926,"Seal, amygdaloid",Carnelian Amygdaloid,Minoan,Late Minoan I,,,,,,,,,,,,,,,,,ca. 1600–1450 BCE,-1600,-1450,Carnelian,Overall: 11/16 x 1/4 in. (1.8 x 0.6 cm),"Bequest of Richard B. Seager, 1926",,,,,,,,,,,,Gems,,http://www.metmuseum.org/art/collection/search/252199,https://www.wikidata.org/wiki/Q116403826,,"Metropolitan Museum of Art, New York, NY",,,
47.90.60,False,False,True,4991,774,The American Wing,1947,Matchsafe,Matchsafe,American,,,,,,,,,,,,,,,,,,1830–70,1830,1870,Parian porcelain,4 1/4 x 4 3/4 x 3 in. (10.8 x 12.1 x 7.6 cm),"Gift of Dr. Charles W. Green, 1947",Probably made in,Bennington,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4991,https://www.wikidata.org/wiki/Q116365882,,"Metropolitan Museum of Art, New York, NY",Dogs,http://vocab.getty.edu/page/aat/300265714,https://www.wikidata.org/wiki/Q144
"1988.417.7a, b",False,False,False,485193,,Modern and Contemporary Art,1988,Sculpture,Cob II,,,,,,14433,Artist, ,Nancy Grossman,"American, born 1940", ,"Grossman, Nancy",American,1940      ,9999      ,Female,http://vocab.getty.edu/page/ulan/500067133,https://www.wikidata.org/wiki/Q6962720,1977–80,1977,1980,"Wood, leather, painted horn, lacquer, and lead","33 1/4 × 9 × 13 in. (84.5 × 22.9 × 33 cm)
a: top: 28 in. × 8 1/2 in. × 12 1/2 in. (71.1 × 21.6 × 31.8 cm)
b: base: 5 1/8 in. × 9 in. × 9 in. (13 × 22.9 × 22.9 cm)
Weight: 12.1 lb. (5.5 kg)","Gift of Barbara and Eugene Schwartz, 1988",,,,,,,,,,,,Sculpture,"Courtesy of Michael Rosenfeld Gallery, LLC, New York, NY",http://www.metmuseum.org/art/collection/search/485193,https://www.wikidata.org/wiki/Q20199029,,"Metropolitan Museum of Art, New York, NY",Masks,http://vocab.getty.edu/page/aat/300262834,https://www.wikidata.org/wiki/Q161524
WW.466,False,False,False,649785,,Drawings and Prints,,Print,Budapest: Coronation Church (Krönungskirche),,,,,,10233716272,Artist|Publisher, | ,Franz Kuhn|Wiener Werkstätte,"Austrian, Mistelbach 1889–1952 Vienna| ", | ,"Kuhn, Franz|Wiener Werkstätte",Austrian| ,1889      |          ,1952      |          ,|,http://vocab.getty.edu/page/ulan/500524092|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/649785,,,"Metropolitan Museum of Art, New York, NY",Churches,http://vocab.getty.edu/page/aat/300007466,https://www.wikidata.org/wiki/Q16970
57.27.37,False,False,True,324631,,Ancient Near Eastern Art,1957,Beaker,Palace Ware beaker,Assyrian,Neo-Assyrian,,,,,,,,,,,,,,,,,ca. 8th–7th century BCE,-800,-600,Ceramic,8.11 in. (20.6 cm),"Rogers Fund, 1957",,,,,,Mesopotamia,Nimrud (ancient Kalhu),,,,,Ceramics-Vessels,,http://www.metmuseum.org/art/collection/search/324631,,,"Metropolitan Museum of Art, New York, NY",,,
"Burdick 537, W500.732",False,False,False,826770,,Drawings and Prints,1963,Photograph,"Rock of Ages and Cave of the Winds from Niagara Falls, New York souvenir views (W500)",,,,,,,,,,,,,,,,,,,ca. 1905–20,1905,1920,Gelatin silver print,Sheet: 3 7/16 × 2 3/16 in. (8.8 × 5.6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/826770,,,"Metropolitan Museum of Art, New York, NY",,,
2022.198,False,False,False,454814,,Islamic Art,2022,Illustrated single work,Sultan Muhammad 'Adil Shah and Ikhlas Khan Riding an Elephant,,,,,,22077120562,Artist|Artist, | ,Haidar 'Ali|Ibrahim Khan,Indian|Indian, | ,"'Ali, Haidar|Khan, Ibrahim",Indian| ,          |1620      ,          |1670      ,|,|,|,ca. 1645,1620,1670,"Ink, opaque watercolor, and gold on paper","Frame: 17 3/16 × 22 3/16 × 3/4 in. (43.6 × 56.3 × 1.9 cm)
Image: 11 1/4 × 12 5/8 in. (28.6 × 32 cm)","Howard Hodgkin Collection, Purchase, Florence and Herbert Irving Acquisitions and 2020 Benefit Funds; Howard S. and Nancy Marks Gift; Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest; The Mossavar-Rahmani Fund for Iranian Art and funds from various donors, 2022",Made in|Country of Origin,Bijapur,|,,India|India,Deccan,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/454814,http://www.wikidata.org/entity/Q50812201,,"Metropolitan Museum of Art, New York, NY",Elephants,http://vocab.getty.edu/page/aat/300250160,https://www.wikidata.org/wiki/Q7378
20.148.311,False,False,True,71302,,Asian Art,1920,Piece,,Japan,,,,,,,,,,,,,,,,,,17th century,1600,1699,Silk / Compound weave,2 1/4 × 2 1/2 in. (5.7 × 6.4 cm),"Gift of Kihei Hattori, in memory of his father, Kihei Hattori, 1920",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/71302,,,"Metropolitan Museum of Art, New York, NY",,,
15.95.76,False,False,True,446766,,Islamic Art,1915,Armband,Armband (Bazuband),,,,,,,,,,,,,,,,,,,19th century,1800,1899,"Gold, silk thread and glass; hammered in relief and chased",L. 19 in. (48.3 cm),"John Stewart Kennedy Fund, 1915",Attributed to,,,,India,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/446766,,,"Metropolitan Museum of Art, New York, NY",,,
2011.604.1.240,False,False,True,668635,,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Classical,,,,18069,Artist,Attributed to the,Angular Painter,,[DvB],Angular Painter, ,          ,          ,,http://vocab.getty.edu/page/ulan/500113797,,second quarter 5th century BCE,-500,-450,Terracotta,,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/668635,,,"Metropolitan Museum of Art, New York, NY",,,
1978.485,False,False,False,94828,,Costume Institute,1978,Cape,Cape,American,,,,,2085,Designer, ,Elizabeth Hawes,"American, Ridgewood, New Jersey 1903–1971 New York", ,"Hawes, Elizabeth",American,1903      ,1971      ,Female,http://vocab.getty.edu/page/ulan/500524697,https://www.wikidata.org/wiki/Q5362941,1955–65,1955,1965,silk,,"Gift of Dr. Barnes Riznik and Joseph Quentin Riznik, 1978",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/94828,,,"Metropolitan Museum of Art, New York, NY",,,
48.27,False,False,False,355889,,Drawings and Prints,1948,Book,Vita di S. Catherina da Siena,,,,,,8641,Author,Written by,Raymundus de Vineis,"Italian, 1330–1399", ,"Vineis, Raymundus de",Italian,1330      ,1399      ,,,,"May 10, 1524",1524,1524,,Overall: 8 7/8 x 5 11/16 x 15/16 in. (22.6 x 14.5 x 2.4 cm),"Harris Brisbane Dick Fund, 1948",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/355889,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.216.189.49,False,False,True,714181,,Drawings and Prints,1963,Print,"Jindee Shah, Kamit Peer Baba, Afghanistan, from the Savage and Semi-Barbarous Chiefs and Rulers series (N189) issued by Wm. S. Kimball & Co.",,,,,,19138,Publisher,Issued by,William S. Kimball & Company, , ,William S. Kimball & Company, ,          ,          ,,,,1888,1888,1888,Commercial color lithograph,Sheet: 2 11/16 × 1 1/2 in. (6.8 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/714181,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
06.789a–d,False,False,True,189098,,European Sculpture and Decorative Arts,1906,Urn with cover and tray,Urn with cover and tray,probably Dutch,,,,,,,,,,,,,,,,,,18th century,1700,1799,"Pewter, brass, wood","Height (urn): 14 in. (35.6 cm);
Width (tray): 8 1/4 in. (21 cm)","Rogers Fund, 1906",,,,,,,,,,,,Metalwork-Pewter,,http://www.metmuseum.org/art/collection/search/189098,,,"Metropolitan Museum of Art, New York, NY",Grapes|Insignia,http://vocab.getty.edu/page/aat/300379338|http://vocab.getty.edu/page/aat/300028725,https://www.wikidata.org/wiki/Q10978|https://www.wikidata.org/wiki/Q552345
52.530.16,False,False,False,352472,,Drawings and Prints,1952,Book,"Rugs, Oriental and Occidental, Season 1920",,,,,,8361,Author, ,Kent-Costikyan,"New York, NY", ,Kent-Costikyan,American,1900      ,1950      ,,,,1920,1920,1920,,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1952",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/352472,,,"Metropolitan Museum of Art, New York, NY",,,
"1996.482.9a, b",False,False,False,79303,,Costume Institute,1996,Suit,Suit,American,,,,,201962021,Designer|Department Store, | ,Richard Tyler|Bergdorf Goodman,"American, born Australia, 1948|American, founded 1899", | ,Tyler Richard|Bergdorf Goodman,American|American,1948      |1899      ,9999      |9999      ,|,|http://vocab.getty.edu/page/ulan/500524655,|https://www.wikidata.org/wiki/Q793430,ca. 1993,1988,1998,"polyester, Rayon, silk",,"Gift of Claudia Payne, 1996",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/79303,,,"Metropolitan Museum of Art, New York, NY",,,
1972.535.754,False,False,False,738859,,Drawings and Prints,1972,"Print, poster",Will you join?,,,,,,7432,Artist, ,"Anonymous, American, 20th century", , ,"Anonymous, American, 20th century",American,1900      ,1999      ,,,,ca. 1917,1915,1922,Commercial color lithograph,Sheet: 13 9/16 × 10 3/8 in. (34.4 × 26.4 cm),"Gift of William C. Moore, 1972",,,,,,,,,,,,Prints|Posters,,http://www.metmuseum.org/art/collection/search/738859,,,"Metropolitan Museum of Art, New York, NY",World War I,http://vocab.getty.edu/page/ia/901000143,https://www.wikidata.org/wiki/Q361
63.350.213.152.129,False,False,False,419270,,Drawings and Prints,1963,Photograph,"Elenor Lane, from the Photos from Life series (N152) for Duke's Preferred Stock Cigarettes.",,,,,,10567,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.", ,"Duke, W. Sons & Co.",American,1870      ,1920      ,,(not assigned),https://www.wikidata.org/wiki/Q66734555,ca. 1895,1888,1899,Albumen photograph,Sheet: 2 3/4 x 2 3/4 in. (7 x 7 cm) [corners cut],"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/419270,,,"Metropolitan Museum of Art, New York, NY",,,
2016.9.1.7,False,False,False,577627,,Egyptian Art,2016,"Bead, composite eye",Composite eye bead,,Late Period to Roman Period,,,,,,,,,,,,,,,,,5th Century B.C. to 1st Century A.D.,-499,99,Glass,L. 1.2 × D. 1.6 cm (1/2 × 5/8 in.),Museum Accession,From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/577627,,,"Metropolitan Museum of Art, New York, NY",,,
35.3.187,False,False,False,568136,122,Egyptian Art,1935,"Foundation Deposit Plaque, cartouche",Foundation Deposit Plaque,,"New Kingdom, Ramesside",Dynasty 20,reign of Ramesses IV,,,,,,,,,,,,,,,ca. 1295–1070 B.C.,-1295,-1295,Faience,H. 2.5 cm (1 in.),"Rogers Fund, 1935",From,,,,Egypt,"Upper Egypt, Thebes",Asasif,,,"MMA excavations, 1935–36",,,,http://www.metmuseum.org/art/collection/search/568136,https://www.wikidata.org/wiki/Q116440475,,"Metropolitan Museum of Art, New York, NY",,,
